E14,PER,5.29
E14,DIR,313.89
E15,HS,1.18
E15,PER,3.98
E15,DIR,327.94
E16,HS,0.82
E16,PER,3.36
E16,DIR,322.97
E17,HS,1.25
E17,PER,4.08
E17,DIR,320.63
E18,HS,0.92
E18,PER,3.45
E18,DIR,329.48
E19,HS,1.17
E19,PER,3.75
E19,DIR,333.05
E20,HS,1.22
E20,PER,3.8
E20,DIR,333.3
E21,HS,2.69
E21,PER,8.01
E21,DIR,299.52
E22,HS,4.13
E22,PER,8.5
E22,DIR,321.4
E23,HS,1.53
E23,PER,7.44
E23,DIR,343.35
E24,HS,1.08
E24,PER,3.7
E24,DIR,99.47
E25,HS,1.02
E25,PER,3.64
E25,DIR,56.0
E26,HS,1.17
E26,PER,8.08
E26,DIR,9.83
E27,HS,1.82
E27,PER,9.08
E27,DIR,325.09
E28,HS,0.3
E28,PER,2.38
E28,DIR,83.69
E29,HS,2.9
E29,PER,9.5
E29,DIR,315.65
E30,HS,2.13
E30,PER,9.82
E30,DIR,4.26
E31,HS,4.65
E31,PER,9.6
E31,DIR,320.26
E32,HS,0.97
E32,PER,3.44
E32,DIR,86.02
E33,HS,0.92
E33,PER,3.39
E33,DIR,75.62
E34,HS,0.68
E34,PER,2.89
E34,DIR,60.4
E35,HS,0.77
E35,PER,3.17
E35,DIR,89.58
E36,HS,0.89
E36,PER,3.46
E36,DIR,92.86
E37,HS,0.78
E37,PER,3.35
E37,DIR,83.49
E38,HS,0.74
E38,PER,9.99
E38,DIR,345.47
E39,HS,0.64
E39,PER,7.48
E39,DIR,7.96
E40,HS,0.79
E40,PER,9.48
E40,DIR,9.03
E41,HS,-9.9
E41,PER,-9.9
E41,DIR,297.23
E42,HS,5.58
E42,PER,9.99
E42,DIR,315.61
E43,HS,5.07
E43,PER,9.98
E43,DIR,308.25
E44,HS,0.52
E44,PER,9.32
E44,DIR,96.93
E45,HS,1.06
E45,PER,9.78
E45,DIR,80.98
E46,HS,5.18
E46,PER,9.71
E46,DIR,308.61
E47,HS,1.05
E47,PER,9.42
E47,DIR,5.65
E48,HS,1.24
E48,PER,9.82
E48,DIR,317.09
E49,HS,7.39
E49,PER,9.97
E49,DIR,312.82
E50,HS,5.82
E50,PER,9.96
E50,DIR,313.16
E51,HS,3.89
E51,PER,9.83
E51,DIR,315.89
E52,HS,0.74
E52,PER,6.06
E52,DIR,9.84
E53,HS,1.2
E53,PER,9.76
E53,DIR,47.99
E54,HS,5.46
E54,PER,9.9
E54,DIR,315.81
E55,HS,1.72
E55,PER,9.74
E55,DIR,63.01
E56,HS,2.09
E56,PER,9.72
E56,DIR,71.93
E57,HS,6.62
E57,PER,9.97
E57,DIR,316.28
E58,HS,7.77
E58,PER,9.99
E58,DIR,314.12
E59,HS,7.94
E59,PER,9.98
E59,DIR,315.4
E60,HS,4.36
E60,PER,9.77
E60,DIR,80.73
E61,HS,8.65
E61,PER,9.95
E61,DIR,327.92
E62,HS,4.14
E62,PER,9.95
E62,DIR,60.34
E63,HS,9.83
E63,PER,9.96
E63,DIR,91.65
E64,HS,2.3
E64,PER,9.77
E64,DIR,349.0
E65,HS,3.14
E65,PER,9.44
E65,DIR,83.76
E66,HS,7.65
E66,PER,9.94
E66,DIR,8.56
E67,HS,6.27
E67,PER,9.54
E67,DIR,85.87
E68,HS,1.61
E68,PER,9.64
E68,DIR,95.86
E69,HS,6.04
E69,PER,9.74
E69,DIR,94.31
E70,HS,0.83
E70,PER,5.25
E70,DIR,90.26
E71,HS,0.93
E71,PER,6.53
E71,DIR,92.31
E72,HS,4.54
E72,PER,9.89
E72,DIR,348.73
E73,HS,2.93
E73,PER,8.8
E73,DIR,80.08
E74,HS,0.35
E74,PER,4.98
E74,DIR,81.93
E75,HS,0.89
E75,PER,6.39
E75,DIR,9.05
E76,HS,2.8
E76,PER,6.87
E76,DIR,9.54
E77,HS,2.77
E77,PER,6.67
E77,DIR,9.96
E78,HS,2.66
E78,PER,6.45
E78,DIR,8.94
E79,HS,0.9
E79,PER,5.96
E79,DIR,9.73
E80,HS,2.18
E80,PER,6.05
E80,DIR,9.53
E81,HS,2.12
E81,PER,5.98
E81,DIR,85.09
E82,HS,1.88
E82,PER,5.91
E82,DIR,9.96
E83,HS,1.81
E83,PER,6.13
E83,DIR,91.45
E84,HS,0.7
E84,PER,6.63
E84,DIR,9.49
E85,HS,1.74
E85,PER,6.48
E85,DIR,74.27
S01,HS,1.48
S01,PER,6.52
S01,DIR,9.09
S02,HS,1.03
S02,PER,6.7
S02,DIR,7.03
S03,HS,1.61
S03,PER,7.1
S03,DIR,9.1
S04,HS,1.78
S04,PER,7.74
S04,DIR,8.48
S05,HS,1.74
S05,PER,7.71
S05,DIR,9.84
S06,HS,1.72
S06,PER,7.57
S06,DIR,9.65
S07,HS,1.8
S07,PER,7.32
S07,DIR,4.94
S08,HS,1.47
S08,PER,7.15
S08,DIR,346.53
S09,HS,1.34
S09,PER,8.26
S09,DIR,355.85
S10,HS,0.48
S10,PER,4.58
S10,DIR,90.35
S11,HS,1.75
S11,PER,9.15
S11,DIR,352.43
S12,HS,1.87
S12,PER,9.09
S12,DIR,344.04
S13,HS,0.74
S13,PER,7.93
S13,DIR,341.33
S14,HS,1.48
S14,PER,9.17
S14,DIR,349.42
S15,HS,1.47
S15,PER,8.8
S15,DIR,349.99
S16,HS,0.44
S16,PER,4.36
S16,DIR,44.62
S17,HS,1.8
S17,PER,9.05
S17,DIR,340.39
S18,HS,1.64
S18,PER,9.32
S18,DIR,329.59
S19,HS,1.58
S19,PER,8.96
S19,DIR,317.24
S20,HS,1.49
S20,PER,8.33
S20,DIR,301.88
S21,HS,0.84
S21,PER,7.56
S21,DIR,88.01
S22,HS,1.33
S22,PER,8.74
S22,DIR,88.2
S23,HS,2.26
S23,PER,9.84
S23,DIR,316.15
S24,HS,0.58
S24,PER,7.24
S24,DIR,246.58
S25,HS,0.4
S25,PER,9.11
S25,DIR,54.47
S26,HS,0.37
S26,PER,9.28
S26,DIR,8.06
S27,HS,0.34
S27,PER,7.33
S27,DIR,9.29
S28,HS,0.11
S28,PER,6.45
S28,DIR,53.62
S29,HS,0.46
S29,PER,6.44
S29,DIR,9.6
S30,HS,0.72
S30,PER,5.84
S30,DIR,5.22
S31,HS,0.68
S31,PER,4.71
S31,DIR,9.19
S32,HS,0.16
S32,PER,6.27
S32,DIR,97.14
S33,HS,0.66
S33,PER,4.11
S33,DIR,5.02
S34,HS,-9.9
S34,PER,-9.9
S34,DIR,297.23
S35,HS,0.62
S35,PER,3.76
S35,DIR,354.62
S36,HS,0.5
S36,PER,3.77
S36,DIR,342.13
S37,HS,1.91
S37,PER,8.7
S37,DIR,9.85
S38,HS,1.86
S38,PER,9.32
S38,DIR,91.8
S39,HS,1.92
S39,PER,9.83
S39,DIR,91.63
S40,HS,1.9
S40,PER,9.97
S40,DIR,79.26
S41,HS,1.71
S41,PER,9.82
S41,DIR,337.53
S42,HS,1.58
S42,PER,9.67
S42,DIR,334.97
S43,HS,1.06
S43,PER,9.83
S43,DIR,9.77
S44,HS,0.78
S44,PER,9.95
S44,DIR,9.55
S45,HS,0.38
S45,PER,9.01
S45,DIR,50.36
S46,HS,0.34
S46,PER,6.32
S46,DIR,85.88
S47,HS,0.34
S47,PER,6.28
S47,DIR,84.25
S48,HS,0.48
S48,PER,5.03
S48,DIR,92.06
S49,HS,0.35
S49,PER,5.97
S49,DIR,246.19
S50,HS,0.66
S50,PER,7.13
S50,DIR,232.51
S51,HS,1.54
S51,PER,8.55
S51,DIR,93.85
